TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
13022,103650,7.9596068192289975
20482,151224,7.383263353188165
149127,1128413,7.566792063140813
16058,122447,7.625295802715158
17330,97728,5.639238315060589
10230,78719,7.694916911045944
18072,125712,6.956175298804781
8042,47119,5.8591146480974885
7113,56835,7.99029945170814
4949,36265,7.3277429783794705
10531,71848,6.82252397683031
58166,342234,5.88374651858474
8185,71054,8.681001832620648
51811,318420,6.1457991546196755
92678,525125,5.666123567621226
17386,142588,8.201311399976992
9935,62791,6.320181177654756
19040,156793,8.234926470588235
11639,63175,5.427871810292981
35284,312607,8.859738124929146
7323,65526,8.947972142564522
6159,46966,7.625588569572983
21861,186381,8.52573075339646
7107,55775,7.84789644012945
21146,134757,6.372694599451433
4839,40682,8.407108906798925
122142,1049922,8.595912953775114
8029,53934,6.717399427076846
34528,305350,8.843547265987025
42678,414232,9.705984347907586
32824,196778,5.994942724835486
15643,101331,6.477721664642332
6202,36098,5.820380522412125
27365,192349,7.029015165357208
18482,120619,6.526295855426902
18589,191167,10.28387756199903
4056,29419,7.253205128205129
21301,190960,8.964837331580677
4774,25247,5.288437369082531
29249,194569,6.652159048172587
3494,23262,6.657698912421294
11052,88656,8.02171552660152
54028,437764,8.10253942400237
12009,81839,6.814805562494795
11833,66039,5.580917772331615
23860,161399,6.76441743503772
2320,17557,7.567672413793104
27076,346244,12.787856404195598
10695,139255,13.0205703599813
211037,2150846,10.191795751455906
39987,467909,11.701527996598895
26945,222152,8.244646502133977
27241,308768,11.33467934363643
31697,393574,12.416758683787108
299496,2810297,9.38342081363357
28507,280886,9.853229031465956
30940,209443,6.769327731092437
25087,247015,9.846334755052418
39987,398315,9.961112361517493
8917,82541,9.256588538746215
9538,122439,12.836967917802474
7945,93892,11.817747010698552
16160,162996,10.086386138613861
97294,818376,8.411371718708246
11724,165456,14.112589559877176
135108,857599,6.347507179441632
360013,2566076,7.127731498584773
31820,355927,11.18563796354494
14428,145921,10.113737177710009
31960,318668,9.970838548185231
37868,225240,5.948029998943699
381198,2994000,7.854186013567753
10461,148091,14.156485995602715
10027,108516,10.822379575147103
90634,836985,9.234779442593288
13325,147296,11.054108818011256
40770,376796,9.241991660534707
7774,97279,12.513377926421406
183732,2299799,12.517139093897633
10081,106640,10.578315643289356
60657,738405,12.173450714674317
167640,1612748,9.620305416368408
59806,480017,8.026234825937197
29878,259896,8.698574201753798
10721,83500,7.788452569722973
54488,535700,9.831522537072383
31329,283460,9.047847042676114
64682,659624,10.197953062675861
7459,80132,10.742995039549537
34576,452720,13.093475242943082
7113,57512,8.08547729509349
97696,856226,8.764186865378317
5668,55938,9.86908962597036
16270,197442,12.135341118623233
99677,1081878,10.85383789640539
18460,185088,10.026435536294692
18613,152480,8.192123784451727
34255,361720,10.559626331922347
5136,52307,10.184384735202492
35927,499408,13.900631836780137
12295,179696,14.615372102480682
311289,3866971,12.422446665317437
49289,655269,13.294426748361703
33224,254516,7.660606790272093
37849,478333,12.637929667890829
37507,490196,13.06945370197563
269315,2993323,11.11457958153092
31151,334253,10.730088921703958
42546,292036,6.864006017016876
33924,392290,11.563789647447235
56355,663069,11.765930263508118
10124,87253,8.618431450019756
10707,157086,14.671336508826002
9834,130283,13.248220459629856
21769,247218,11.35642427304883
110877,1100956,9.929525510250096
13242,205744,15.53723002567588
168516,1067201,6.332935744973771
391952,3422827,8.732770849491775
39156,512845,13.097481867402186
15349,186824,12.171737572480293
41812,412492,9.865397493542524
47563,326296,6.860290561991464
510637,4872467,9.541938794094435
11777,182097,15.462087118960685
10734,138709,12.922396124464319
147302,1411337,9.581248048227451
21772,251827,11.566553371302591
44421,471438,10.612953332883096
11659,173191,14.854704520113216
172720,2496570,14.454434923575729
11639,116730,10.029212131626428
73691,1069738,14.516535262107991
233547,2748552,11.7687317756169
71283,584627,8.201492642004405
59733,505980,8.470694590929638
15498,123537,7.971157568718544
79665,816941,10.254704073306973
48773,431820,8.853669038197364
93588,1008147,10.772182331068086
9028,119903,13.281236154186974
38198,515428,13.493586051625739
7955,83052,10.440226272784413
119104,1261551,10.592012023105857
7510,85453,11.37856191744341
18436,255451,13.85609676719462
121669,1576497,12.957261093622861
21208,222039,10.469586948321389
35048,283999,8.10314425930153
32551,398409,12.23953181161869
7347,96169,13.089560364774737
23111,315237,13.640128077538835
9561,122707,12.83411777010773
135416,1680021,12.406370000590773
33466,429876,12.845156278013507
19847,163416,8.233788481886432
22043,275628,12.504105611758835
30276,339516,11.214030915576695
225690,2199310,9.744826975054279
21603,215426,9.97204092024256
25706,190332,7.404185793200031
17962,201602,11.22380581227035
27465,305323,11.116803204077918
8056,60198,7.472442899702085
8906,113134,12.703121491129576
7135,87858,12.313665031534688
15438,161447,10.457766550071252
77798,683232,8.782128075271858
10208,139418,13.657719435736677
88178,660715,7.492968767719839
187866,1416560,7.540268063406897
26861,323018,12.025538885372846
12966,132536,10.221810890020052
30122,296861,9.855288493459929
24305,163895,6.743262703147501
163281,1749714,10.715968177558931
9417,133934,14.222576191993204
8381,97198,11.597422741916239
75127,771241,10.265829861434637
11740,152326,12.974957410562181
35465,305945,8.626674185817002
7543,101765,13.491316452339918
167189,1964992,11.753117729037198
9474,80716,8.519738230947857
48394,644745,13.322829276356574
114018,1344135,11.78879650581487
54616,426178,7.803171231873444
29313,284988,9.722239279500563
9018,74109,8.21789753825682
50385,520225,10.324997519102908
29418,266757,9.067815623087906
59628,656710,11.013450057020192
6641,76469,11.514681523866887
31064,390707,12.577485191861962
6649,56766,8.53752443976538
53352,525274,9.845441595441596
5618,58561,10.423816304734782
14716,180333,12.254213101386247
77722,915194,11.775224518154447
15919,161120,10.121238771279604
18279,156242,8.5476229553039
30587,297830,9.73714323078432
3975,53649,13.496603773584905
16785,143204,8.531665177241585
7591,63105,8.31313397444342
70466,665214,9.440212300967843
27045,215314,7.961323719726382
19759,120637,6.105420314793259
14114,118305,8.382102876576448
20780,174742,8.409143407122233
156129,1093494,7.003785331360605
17288,121913,7.051885701064322
21192,109952,5.188372970932427
10448,75594,7.235260336906585
20032,136450,6.8116014376996805
5830,24991,4.286620926243568
7425,60219,8.11030303030303
5296,38556,7.280211480362538
11429,81874,7.163706361011462
49669,317791,6.398175924620991
9379,77708,8.285318264207271
52555,315960,6.0119874417277135
85199,568430,6.671791922440404
20855,154551,7.410740829537281
10040,65114,6.485458167330678
15628,112890,7.223573073969797
8127,48395,5.954841885074443
40614,360275,8.8707096075245
8605,71570,8.31725740848344
5679,42482,7.480542349005106
85479,715837,8.374419448051569
7801,58769,7.533521343417511
18688,128710,6.887307363013699
4496,38310,8.520907473309608
151994,1231478,8.102148769030357
5433,30694,5.649549052089085
33310,297129,8.9201140798559
62698,570985,9.106909311301797
30904,185884,6.014884804556044
14897,103065,6.918507081962812
